Serial No.,IELTS Score,PTE Score,TOEFEL Score,Backlogs,CGPA,Work Experience,Paper Level,Score
460,0,0,115,0,8.3,0,2,0.89
461,0,0,118,1,8.1,2,2,0.86
462,0,0,101,2,8.2,1,3,0.87
463,0,0,96,1,8.2,5,3,0.91
464,0,0,120,0,8.5,8,1,0.92
465,0,0,99,0,8.7,9,1,0.95
466,0,0,109,0,8.92,7,0,0.93
467,0,0,110,0,9.02,5,0,0.93
468,0,0,110,1,8.64,6,2,0.93
469,0,0,119,0,9.22,1,0,0.93
470,0,0,118,0,9.16,2,2,0.99
471,0,0,113,1,9.64,0,1,0.97
472,0,0,116,0,9.76,3,1,0.99
473,0,0,120,0,9.45,1,1,0.98
474,0,0,118,0,9.04,15,3,0.99
475,0,0,117,0,8.9,11,3,0.99
476,0,0,94,1,8.56,12,3,0.99
477,0,0,93,0,8.72,11,2,0.99
478,0,0,92,2,8.22,14,2,0.91
479,0,0,85,3,7.54,13,0,0.76
480,0,0,98,1,7.9,15,0,0.84
481,0,0,103,0,8,14,0,0.87
482,0,0,113,0,8.6,17,2,0.99
483,0,0,120,0,8.7,2,3,0.97
484,0,0,98,2,7.4,18,2,0.85
485,0,0,103,1,9,19,3,0.99
486,0,0,96,0,7.5,20,1,0.88
487,0,0,116,0,9.6,12,1,0.99
488,0,0,111,0,9.5,2,1,0.99
489,0,0,111,0,9.44,1,1,0.98
490,0,0,101,3,7.66,1,0,0.71
491,0,0,111,1,8.6,25,0,0.96
492,0,0,120,0,9.7,3,0,0.98
493,0,0,56,5,6.5,1,0,0.56
494,0,0,84,0,9.05,4,1,0.96
495,0,0,97,0,9.6,0,2,0.99
496,0,0,93,0,9.7,0,1,0.99
497,0,0,95,1,8.4,0,3,0.91
498,0,0,74,12,5.6,5,2,0.4
499,0,0,73,4,7.05,6,3,0.75
500,0,0,89,2,8.3,4,3,0.9
501,0,0,118,0,9.65,7,2,0.99
502,0,0,119,0,8.87,8,1,0.96
503,0,0,110,2,8,4,3,0.87
504,0,0,113,1,8.67,5,2,0.93
505,0,0,112,1,8.21,6,1,0.86
506,0,0,116,0,9.34,0,3,0.99
507,0,0,120,3,8.2,0,2,0.82
508,0,0,99,2,7.9,11,0,0.81
509,0,0,98,0,8,15,2,0.94
510,0,0,101,1,8.6,2,0,0.85
511,0,0,103,2,8.4,1,1,0.84
512,0,0,98,0,9,5,2,0.99
513,0,0,86,0,9.1,6,3,0.99
514,0,0,99,3,8,8,2,0.84
515,0,0,99,0,8.2,7,0,0.85
516,0,0,102,3,8.3,9,1,0.85
517,0,0,97,1,8.7,4,0,0.87
518,0,0,102,0,8,6,0,0.83
519,0,0,116,2,8.8,2,2,0.91
520,0,0,115,1,8.5,1,3,0.93
521,0,0,100,4,7.9,9,1,0.79
522,0,0,100,2,8.4,8,2,0.9
523,0,0,65,7,5.5,6,1,0.47
524,0,0,78,6,6.5,4,2,0.61
525,0,0,73,5,7.5,2,3,0.75
526,0,0,75,4,7.3,6,2,0.74
527,0,0,70,5,7.2,3,0,0.64
528,0,0,84,0,8,8,0,0.84
529,0,0,86,0,8.6,5,0,0.89
530,0,0,98,0,8.7,4,3,0.98
531,0,0,93,2,7.5,8,0,0.75
532,0,0,97,1,8.4,9,3,0.96
533,0,0,100,0,9,7,3,0.99
534,0,0,85,3,7.6,1,3,0.79
535,0,0,57,9,5.4,2,1,0.4
536,0,0,43,12,4.3,3,1,0.24
537,0,0,59,7,6.5,5,2,0.59
538,0,0,45,10,5.5,6,2,0.44
539,0,0,68,8,5.6,4,3,0.51
540,0,0,52,7,6,5,3,0.58
541,0,0,58,5,6,8,1,0.57
542,0,0,98,2,7.5,7,2,0.8
543,0,0,96,1,7.3,9,3,0.84
544,0,0,89,3,7.5,5,3,0.8
545,0,0,93,2,7.2,4,2,0.76
546,0,0,105,2,7.8,11,3,0.89
547,0,0,116,0,9.3,12,2,0.99
548,0,0,120,0,9.7,10,2,0.99
549,0,0,114,0,8.85,10,3,0.99
550,0,0,120,0,8.4,10,3,0.98
551,0,0,101,1,8.3,5,3,0.93
552,0,0,106,1,7.9,5,0,0.8
553,0,0,108,2,8,0,0,0.76
554,0,0,99,1,8.1,1,0,0.8
555,0,0,97,1,8,5,1,0.84
556,0,0,93,3,7.7,3,1,0.76
557,0,0,95,2,7.4,3,2,0.78
558,0,0,84,0,7.6,4,2,0.84
559,0,0,98,3,6.8,6,0,0.65
560,0,0,115,0,8.3,2,1,0.87
561,0,0,118,1,8.1,2,0,0.8
562,0,0,101,2,8.2,0,2,0.84
563,0,0,96,1,8.2,5,2,0.89
564,0,0,120,0,8.5,5,2,0.94
565,0,0,99,0,8.7,6,1,0.93
566,0,0,109,0,8.92,9,1,0.97
567,0,0,110,0,9.02,8,1,0.97
568,0,0,110,1,8.64,7,3,0.97
569,0,0,119,0,9.22,0,0,0.92
570,0,0,118,0,9.16,10,0,0.97
571,0,0,113,1,9.64,15,2,0.99
572,0,0,116,0,9.76,16,2,0.99
573,0,0,120,0,9.45,16,3,0.99
574,0,0,118,0,9.04,1,3,0.99
575,0,0,117,0,8.9,2,1,0.93
576,0,0,94,1,8.56,4,0,0.86
577,0,0,93,0,8.72,5,0,0.9
578,0,0,92,2,8.22,4,2,0.86
579,0,0,85,3,7.54,3,3,0.8
580,0,0,98,1,7.9,3,2,0.84
581,0,0,103,0,8,3,1,0.85
582,0,0,113,0,8.6,5,0,0.89
583,0,0,120,0,8.7,10,3,0.99
584,0,0,98,2,7.4,11,2,0.82
585,0,0,103,1,9,15,2,0.99
586,0,0,96,0,7.5,14,1,0.85
587,0,0,116,0,9.6,13,0,0.99
588,0,0,111,0,9.5,14,2,0.99
589,0,0,111,0,9.44,19,2,0.99
590,0,0,101,3,7.66,18,1,0.83
591,0,0,111,1,8.6,5,0,0.86
592,0,0,120,0,9.7,7,2,0.99
593,0,0,56,5,6.5,9,3,0.69
594,0,0,84,0,9.05,10,3,0.99
595,0,0,97,0,9.6,12,2,0.99
596,0,0,93,0,9.7,5,2,0.99
597,0,0,95,1,8.4,0,0,0.82
598,0,0,74,12,5.6,0,1,0.35
599,0,0,73,4,7.05,0,2,0.69
600,0,0,89,2,8.3,4,3,0.9
